Month,data_source,Country,Tx_Type,CC VS APM,First Payment Method,Fail Reason,Order Count,Success Order Count,Recovery Order Count,Fail Order Count
2026-01,Foodora,Czech Republic,CIT,Credit Card,credit_card,Generic Rejection,3,0,0,3
2026-01,Foodora,Czech Republic,CIT,Credit Card,credit_card,Insufficient Funds,31,0,0,31
2026-01,Foodora,Czech Republic,CIT,Credit Card,credit_card,NOT MAPPED,7097,6932,159,6
2026-01,Foodora,Czech Republic,CIT,Credit Card,credit_card,Payment Instrument Issues,117,0,0,117
2026-01,Foodora,Czech Republic,CIT,Credit Card,credit_card,Third Party System Error,4,0,0,4
2026-01,Foodora,Czech Republic,CIT,Credit Card,credit_card,unknown,20,0,0,20
2026-01,Foodora,Czech Republic,MIT,Alternative Payment Method,invoice,NOT MAPPED,11258,11258,0,0
2026-01,Foodora,Czech Republic,MIT,Alternative Payment Method,no_payment_method,NOT MAPPED,3,3,0,0
2026-01,Foodora,Czech Republic,MIT,Alternative Payment Method,no_payment_method,Technical Issues,343,0,0,343
2026-01,Foodora,Czech Republic,MIT,Alternative Payment Method,no_payment_method,unknown,6,0,0,6
2026-01,Foodora,Czech Republic,MIT,Credit Card,applepay,Drops,2,0,0,2
2026-01,Foodora,Czech Republic,MIT,Credit Card,applepay,Fraud Risk,4,0,0,4
2026-01,Foodora,Czech Republic,MIT,Credit Card,applepay,Generic Rejection,426,0,0,426
2026-01,Foodora,Czech Republic,MIT,Credit Card,applepay,Insufficient Funds,1911,0,0,1911
2026-01,Foodora,Czech Republic,MIT,Credit Card,applepay,NOT MAPPED,15202,14454,748,0
2026-01,Foodora,Czech Republic,MIT,Credit Card,applepay,Payment Instrument Issues,441,0,0,441
2026-01,Foodora,Czech Republic,MIT,Credit Card,applepay,Third Party System Error,48,0,0,48
2026-01,Foodora,Czech Republic,MIT,Credit Card,applepay,unknown,69,63,4,2
2026-01,Foodora,Czech Republic,MIT,Credit Card,credit_card,Drops,153,0,0,153
2026-01,Foodora,Czech Republic,MIT,Credit Card,credit_card,Fraud Risk,8,0,0,8
2026-01,Foodora,Czech Republic,MIT,Credit Card,credit_card,Generic Rejection,2,0,0,2
2026-01,Foodora,Czech Republic,MIT,Credit Card,credit_card,Insufficient Funds,1624,0,0,1624
2026-01,Foodora,Czech Republic,MIT,Credit Card,credit_card,NOT MAPPED,23571,22416,1147,8
2026-01,Foodora,Czech Republic,MIT,Credit Card,credit_card,Payment Instrument Issues,605,0,0,605
2026-01,Foodora,Czech Republic,MIT,Credit Card,credit_card,Third Party System Error,71,0,0,71
2026-01,Foodora,Czech Republic,MIT,Credit Card,credit_card,unknown,151,138,10,3
2026-01,Foodora,Finland,CIT,Alternative Payment Method,klarna,Drops,205,0,0,205
2026-01,Foodora,Finland,CIT,Alternative Payment Method,klarna,NOT MAPPED,560,554,6,0
2026-01,Foodora,Finland,CIT,Alternative Payment Method,klarna,Payment Instrument Issues,63,0,0,63
2026-01,Foodora,Finland,CIT,Alternative Payment Method,klarna,unknown,1,0,0,1
2026-01,Foodora,Finland,CIT,Alternative Payment Method,require_payment,NOT MAPPED,2,0,0,0
2026-01,Foodora,Finland,CIT,Credit Card,applepay,Fraud Risk,1,0,0,1
2026-01,Foodora,Finland,CIT,Credit Card,applepay,Generic Rejection,1,0,0,1
2026-01,Foodora,Finland,CIT,Credit Card,applepay,Insufficient Funds,24,0,0,24
2026-01,Foodora,Finland,CIT,Credit Card,applepay,NOT MAPPED,1684,1673,11,0
